Year,HeadQuarter,Sector,Founders,Investor,Stage,Company_Brand,What_it_does,Amount
2018-01-01,,Ecommerce,Shantanu Deshpande,Sixth Sense Ventures,Pre-Seed,Bombay Shaving,Provides a range of male grooming products,6300000.0
2014-01-01,Mumbai,Edtech,"Adamas Belva Syah Devara, Iman Usman.",General Atlantic,Series C,Ruangguru,"A learning platform that provides topic-based journey, animated videos, quizzes, infographic and mock tests to students",150000000.0
2018-01-01,Mumbai,Edtech,Jatin Solanki,"Deepak Parekh, Amitabh Bachchan, Piyush Pandey",Series A,Eduisfun,It aims to make learning fun via games.,28000000.0
2014-01-01,Chennai,Interior design,"Srikanth Iyer, Rama Harinath","Evolvence India Fund (EIF), Pidilite Group, FJ Labs",Series D,HomeLane,Provides interior designing solutions,30000000.0
2004-01-01,Telangana,AgriTech,Narayana Reddy Punyala,Innovation in Food and Agriculture (IFA),Bridge,Nu Genes,"It is a seed company engaged in production, processing and marketing of seeds",6000000.0
2018-01-01,Pune,Technology,Nitin Gupta,Undisclosed,Series A+,FlytBase,A drone automation platform,3000000.0
2018-01-01,Bengaluru,SaaS,"Vivek AG, Veekshith C Rai","Social Capital, AngelList India, Gemba Capital, Omphalos Ventures,  91springboard via Atal Innovation Mission, Niti Aayog.",Debt Financing,Finly,"It builds software products that makes work simpler, pleasant, and productive",3000000.0
2013-01-01,Noida,Technology,"Pavan Kushwaha, Paratosh Bansal, Dip Jung Thapa","Gilda VC, Art Venture, Rajeev Chitrabhanu.",Series E,Kratikal,It is a product-based cybersecurity solutions provider,1000000.0
2018-01-01,,AI & Tech,Renuka Ramnath,Multiples Alternate Asset Management,Series A,Quantiphi,It is an AI and big data services company providing business solutions.,20000000.0
2010-01-01,Delhi,E-commerce,"Peyush Bansal, Amit Chaudhary, Sumeet Kapahi",SoftBank,Series G,Lenskart,It is a eyewear company,275000000.0
2010-01-01,Mumbai,E-commerce & AR,"Abhay Bhat, Kinnar Shah",Venture Catalysts,Series A+,Cub McPaws,A B2C  brand that focusses on premium and comfortable merchandise for Generation Alpha – kids,3000000.0
2018-01-01,Bengaluru,SaaS,D Padmanabhan,Avataar Ventures,Private Equity,Appnomic,"It is a self-healing enterprise, the IT operations software detects, predicts and prevents problems before they happen",22000000.0
2018-01-01,Chennai,Finance,"Puneet Gupta, Sucharita Mukherjee",Oikocredit,Series A,Kaleidofin,Platform that provides complete financial solutions for excluded individuals and households,5000000.0
2019-01-01,Ahmedabad,HR tech,Ishit Jethwa,Titan Capital,Series D,JobSquare,Technology-based platform that is connecting suitable applicants to the right recruiters,140500.0
2018-01-01,,Food tech,"Ahana Gautam, Udit Kejriwal",Matrix Partners,Series A,Open Secret,It produces and sells top quality snacks,3000000.0
2017-01-01,Delhi,Finance,Rakesh Malhotra,Sequoia Capital,Private Equity,LivFin,"Grants small business loans, supply chain finance and working capital loans to small and medium enterprises",5000000.0
2011-01-01,,Edtech,Byju Raveendran,"South Africa’s Naspers Ventures, the CPP Investment Board",Series A,Byju's,Provides online learning classes,540000000.0
2015-01-01,Bengaluru,Finance,Nitish Mittersain,Goldman Sachs.,Series B,Zest Money,Uses AI to do risk profiling of e-commerce consumers who opt for EMI,15000000.0
2014-01-01,,Edtech,Amit Modi,Mumbai Angels Network,Series I,Witblox,Offers a range of robotics learning tools,182700.0
2018-01-01,Gurugram,Health,"Mohammed, Shashwat Diesh","Kunal Bahl, Rohit Bansal.",Seed,Azah Personal Care Pvt. Ltd.,Aims to solve some problems in the feminine hygiene sector,3000000.0
2015-01-01,,Finance,Renato Araujo,Brazilian VC Fund Confrapar,Series D1,SalaryFits,A platform that promotes financial well-being of employees at workplace,5000000.0
2018-01-01,,Healthcare,"Harsimarbir Singh, Dr Vaibhav Kapoor, Dr Garima Sawhney","Sequoia India, Hummingbird Ventures, Greenoaks Capital, AngelList.",Series B,Pristyn Care,Delivers advanced medical care & clinical excellence aided by next-level technology,12000000.0
2013-01-01,,Edtech,"Gautam Tambay, Parul Gupta",Reach Capital,Seed,Springboard,Offers online courses and extensive mentor-based learning,11000000.0
2018-01-01,Delhi,Safety tech,"Dhiraj Naubhar, Dheeraj Bansal",Inflection Point Ventures,Series D,DROR Labs Pvt. Ltd,It uses technology to create a trust-based network of responsible citizens to ensure safety,3000000.0
2014-01-01,Bengaluru,Pharmaceutical,"Tushar Kumar, Prashant Singh",Wilson Global Opportunities Fund,Series D1,Medlife,It solves inadequacies in the healthcare delivery system through technology,15500000.0
2019-01-01,Delhi,SaaS,"Arihant Jain, Ajeet Kushwaha",Sequoia Capita,Series B+,Seekify,Customer Experience (CX) Automation platform,1500000.0
2017-01-01,Haryana,Insurance technology,"Nishant Jain, Rohan Kumar",IVM Intersurer,Series A,Toffee Insurance,Provides variety of insurance plans and policies,5500000.0
2018-01-01,,AI,Sam Udotong,Canaan Partners,Series G,Fireflies .ai,Developer of an artificial intelligence-powered assistant for businesses,5000000.0
2015-01-01,Bengaluru,Foodtech,"Sandipan Mitra, Uttam Kumar","Paytm, Asian VC fund NPTK, Sabre Partners, Neoplux.",Series C,HungerBox,"Offers B2B tech platform to corporates, aimed at improving the operations of their cafeterias",12000000.0
2019-01-01,,AgriTech,"Nukul Upadhye, Mahesh Jakhotia, Jitender Bedwal, Daya Rai, Nikhil Tripathi","Omnivore and Omidyar Network India, Sequoia Capital",Series D1,Bijak,B2B platform for agricultural commodities.,2500000.0
2018-01-01,Bengaluru,Food,"Vivek Gupta, Abhay Hanjura",Vertex Growth Fund,Series E,Licious,Online meat shop,30000000.0
2018-01-01,,IoT,"Babu Dayal, Pramod Uniyal, Lalit Mehta",Rajan Kaistha,Bridge,truMe,A global platform for Identity and Access Management,140000.0
2014-01-01,Chandigarh,E-marketplace,KS Bhatia,Dinesh Dua,Seed,Pumpkart,B2B model for appliances and electrical products,3000000.0
2011-01-01,Bengaluru,Robotics & AI,"Neel Mehta, Nihar Vartak",Reliance Industries,Series E,Asteria Aerospace,"Develops drones that are used by the military, paramilitary, police forces and in various industries.",230000000.0
2014-01-01,,Transport,"Deepak Garg, Gazal Kalra","SAIF Partners India VI Ltd, Spring Canter Investment Ltd",Series F,Rivigo,"It offers delivery services across India to retail, e-commerce, pharmaceutical, automobile and FMCG companies",20000000.0
2017-01-01,Gurugram,Travel,"Vivek Prabhakar, Boris Zha","Korea Investment Partners (KIP), Samsung Venture Investment Corporation (SVIC), UOB Venture, 10 Fund, CVCapital, Zero2IPO Ventures, M&S Partners",Series B+,HappyEasyGo,Online flight booking,49400000.0
2018-01-01,Bengaluru,Manufacturing,"Ashish Singhal, Govind Soni, Vimal Sagar Tiwari","Lightspeed and Greenoaks Capital, Sequoia India, Accel and Kae Capital",Series B,Zetwerk,Provides facilities to get products manufactured.,32000000.0
2018-01-01,Bengaluru,AI,Swapnil,Scale Venture Partners,Series A,Observe.AI,Creates a voice AI platform,26000000.0
2016-01-01,Jaipur,E-marketplace,Rajendra Lora,ThinkLab,Series F,Freshokartz,Online fruits and vegetables delivery company,150000.0
2018-01-01,Bengaluru,Food & Nutrition,"Vineet Khanna, Varun Sadana, Aman Tekriwal",Sequoia Capital,Seed Funding,Lil’ Goodness and sCool meal,It empowers moms to provide the best of foods to their Lil' ones,400000.0
2016-01-01,Bengaluru,Social Media,"Pulkit Agrawal, Prashant Sachan, Arun Lodhi, Bimal Kartheek Rebba","Ruizheng Investment, Tej Kapoor, Krinshavataram Venkata Vinjamuri, Harsh Shah",Series D,Trell,Blogging platform that enables people to create visual collections of their travel and local experiences,2000000.0
2018-01-01,,Unknown,Nirmit Parikh,Alibaba,Series E,VMate,A short video platform,100000000.0
2012-01-01,Mumbai,E-commerce,Akshay Narvekar,Lightbox Ventures,Series B+,Bombay Shirt Company,Online custom shirt brand,8000000.0
2016-01-01,,SaaS,Deepak Anchala,Stellaris Ventures,Series F,Slintel,"It helps sales and marketing teams understand purchase intent of buyers on buying patterns, usage and renewals",1500000.0
2018-01-01,Bengaluru,E-Sports,Parshavv Jain& Raju Kushwaha,"Jindagi Live Angels,",Fresh Funding,MyGameMate,eSports platform where players can access various multiplayer mobile games to participate in online tournaments,100000.0
2018-01-01,Noida,Finance,Rachna Suneja,Fintech innovation lab,Bridge,Afinoz,Online financial marketplace for customized rate quotes on loans and investment products in India,3000000.0
2018-01-01,Noida,Technology,"Vaibhav Gupta, Himanshu Devra, Pranav Chaudhary, Nishtha Gupta","Manipal Education and Medical Group (MEMG) family office, Titan Capital",Series E,Rein Games,"It develops, publishes and distributes games across various platforms",50000000.0
2018-01-01,Pune,AgriTech,"Devendra Gupta, Prateek Singhal, Vivek Pandey",Innovation in Food & Agriculture Fund (IFA Fund),Series A,Ecozen,It develops technology-enabled products to strengthen the farm-to-fork value chain of perishables.,6000000.0
2011-01-01,Mumbai,Foodtech,"Amit Raj, Anshul Gupta",Trifecta Capital,Seed,Box8,Enables to order food online,120000000.0
2016-01-01,Bengaluru,Unknown,"Vineet Khanna, Varun Sadana, Aman Tekriwal","Work10M, Michael and Susan Dell Foundation, Eagle10, Unitus Ventures.",Series A,Awign Enterprises,It supplies workforce to the economy,4000000.0
2012-01-01,Mumbai,Cosmetics,"Manish Taneja, Rahul Dash",Goldman Sachs,Series C,Purplle,Online makeup and beauty products retailer,30000000.0
2017-01-01,Mumbai,B2B,"Sanjay Bhatia, Bharat Tanvi, Punit Java","Amplo, FJ Labs, Rogue One Capital",Series A,Freightwalla,Provides digital platform for businesses to plan and manage their international freight shipments online,4000000.0
2016-01-01,Bengaluru,Unknown,"Shashank Murali, Binay Krishna, Arjun Krishna",Blume Ventures.,Series B,TapChief,It connects individuals in need of advice in a specific domain to individuals who have expertise in the same,1500000.0
2015-01-01,Mumbai,Jewellery,"Jignesh Mehta, Shailen Mehta",Rajesh Ranavat,Seed Round,eJOHRI,Omnichannel marketplace for gems and jewellery,1000000.0
2015-01-01,,B2B Supply Chain,"Thirukumaran Nagarajanin, Vasudevan Chinnathambi","Walmart, Flipkart",Seed Funding,Ninjacart,"It connects producers of food directly to retailers, restuarants and service providers.",3000000.0
2014-01-01,Mumbai,Games,"Rubianca Wadhwa, Sahil Wadhwa",Sunil Gavaskar,Series A+,Binca Games,It offers games that are available across India and UK.,3000000.0
2018-01-01,Bengaluru,Unknown,Manish Kumar,Tiger Global Management,Series B,KredX,Invoice discounting platform,26000000.0
2018-01-01,Mumbai,Unknown,Akanksha Hazari,"AC Ventures, Henkel",Series A,m.Paani,It digitizes and organises local retailers,5500000.0
2010-01-01,Gurugram,AgriTech,"Mayank Dhanuka, Sunoor Kaul","Oikocredit, Caspian SME Impact Fund IV,  Triodos Investment Management",Series A,Origo,It provides post-harvest management services for agricultural commodities,6800000.0
2018-01-01,Delhi,Food & tech,"Sawan Kumar, Bhavya Bhambhani",Undisclosed,Seed,WishADish,Provides management solution for restaurants,6000000.0
2012-01-01,Gurugram,Transport,Kajal Ilmi,CDC Group,Seed Funding,Ecom Express,It is a technology enabled logistics solutions provider to the Indian e-commerce industry,36000000.0
2017-01-01,Delhi,Accomodation,"Sandeep Dalmia, Anindya Dutta",Alteria Capital,Series D1,Stanza Living,Provides comfortable and secure accomodation for students,5700000.0
2018-01-01,Chennai,Transport,Visakh Sasikumar,GAIL (India) Ltd,Series A,PiBeam,It is engaged in building sustainable and affordable micro-mobility electric vehicles,50000000.0
2018-01-01,Delhi,Transport,Saurav Kumar,"Blume Ventures, Emergent Ventures",Series A,Euler Motors,It is offering mobility as a service,2000000.0
2018-01-01,New Delhi,E-commerce,Malika Sadani,"Saama Capital, DSG Consumer Partners",Series B,Moms Co,It is into mother and baby care-focused consumer goods,5000000.0
2013-01-01,,IoT,"Dhruv Ratra, Swati Vyas",Rockstud Capital,Series B,Cubical Labs,Home automation solution provider,3000000.0
2015-01-01,Delhi,Legal tech,"Ashish Bhatia, Himanshu Gupta","Pramendra Tomar, Ratish Pandey, Munish Bhatia, Sumit Aggarwal",Series G,Lawyered,It helps to connect to legal advise online,100000.0
2013-01-01,Bengaluru,Edtech,Nirmit Parikh,"Manta Ray Ventures Limited, Google’s Capital G, Sequoia India.",Series I,Cuemath,It helps students to learn math online,5500000.0
2015-01-01,Bengaluru,Food,"Vivek Gupta, Abhay Hanjura",Vertex Ventures,Series D,Licious,Online meat shop,25000000.0
2016-01-01,Noida,Mutual Funds,"Anurag Garg, Sridhar Srinivasan",Windrose Capital,Pre-Seed,Nivesh.com,The platform simplifies the process of investment,600000.0
2015-01-01,,Cybersecurity,Team of Waterloo-based software developers,Undisclosed,Private Equity,Zebu,"Platform uses encryption technology to allow businesses to safely store files, invoices, and schedules",4000000.0
2018-01-01,Surat,Edtech,Sahil Barua,HNI investors,Series I,Smart Institute,A platform to learn online,1500000.0
2008-01-01,Jaipur,Automobile,Amit Jain,"Ping An Global Voyager Fund, Hillhouse Capital, Sequoia Capital",Series D,CarDekho,Enables people to buy and sell new/old cars.,70000000.0
2015-01-01,Bengaluru,Transport,"Abhishek Bansal, Vaibhav Khandelwal","Flipkart, Eight Roads Ventures, NGP Capital, Qualcomm Ventures, Mirae Asset Naver Fund, World Bank-backed IFC",Series D,Shadowfax,A platform for delivery services,60000000.0
2014-01-01,Mumbai,Automobile,Mittal,"Omidyar Network, Eight Roads Ventures, GrowthStory, AngelList",Bridge,Credr,A marketplace to buy and sell used bikes and scooters,6000000.0
2015-01-01,Noida,Sports,"Neeraj Aggarwala, Akhil Ramachandran","Inflection Point Ventures, SucSEED Venture Partners.",Series B,Sportido,It is a sports discovery app that helps to find people and places to play 700+ sports,3000000.0
2018-01-01,,Healthtech,Sumit Sinha,"LetsVenture, 91 Springboard, IKP Knowledge, Angel investors, AbInbev-Serge DeVos, Wouter Peeters.",Series D,Phable,"It creates an engagement loop between doctors, hospitals, and patients via its app",220000.0
2018-01-01,Chennai,Yoga & wellness,Sarvesh Shashi,"Venture fund, Fireside Ventures.",Series H,Sarva,It drives a cultural change in making yoga-based wellness a part of modern lifestyle,2800000.0
2019-01-01,Bengaluru,Finance,Paddy Padmanabhan,Inflection Point Ventures,Series A,IndyFint,"It helps lenders to directly provide short-term loans to merchants, employees, and students",2100000.0
2015-01-01,,Accomodation,"Akhil Sikri, Nikhil Sikri, Sneha Choudhry",Trifecta Capital,Series B,Zolostays,It offers affordable housing apartments to young professionals and students,7000000.0
2010-01-01,Bengaluru,Transport,"Bhavish Aggarwal, Ankit Bhati","Kia Motors, Hyundai",Series F,Ola,It enables one to book cab online,311000000.0
2013-01-01,Bengaluru,Transport,"Greg Moran, David Back",Zoomcar Inc,Debt Financing,Zoomcar,A car rental service platform,4800000.0
2018-01-01,Uttar pradesh,Technology,Pavan Kushwaha,"Gilda VC, Art Venture, Rajeev Chitrabhanu",Bridge,Kratikal,Provides cyber security solutions,1000000.0
2018-01-01,Hyderabad,Marketing & Customer loyalty,"Jeevan Chowdary M, Harshit Harchani",US-based angel investors,Fresh Funding,Froogal,A cloud based Customer Loyalty & Engagement Platform,1000000.0
2018-01-01,Mumbai,Infratech,"Aaditya Sharda, Souvik Sengupta","Tiger Global, Nexus Venture Partners, Accel Partners, Dhruv Agarwala",Series A,Infra.Market,"It connects client requirements to their supply chain infrastructure for ease of ordering, tracking and manufacturing",20000000.0
2013-01-01,Gurugram,Hospitality,Ritesh Agarwal,Sixth Sense Ventures,Series F,Oyo,Provides rooms for comfortable stay,693000000.0
2016-01-01,Delhi,Automobile & Technology,"Amit Bhasin, Kushal Karwa, Nitin Rana, Rishabh Karwa",Sequoia Capital,Series B,GoMechanic,Find automobile repair and maintenance service providers,5000000.0
2015-01-01,Delhi,Automobile,"Niraj Singh, Ramanshu Mahaur, Ganesh Pawar, Mohit Gupta","Norwest Venture Partners, General Catalyst, Fundamentum, Accel Partners",Series A,Spinny,Online car retailer,50000000.0
2018-01-01,Rajasthan,Finance,Rajendra Setia,"TPG, Norwest Venture Partners, Evolvence India",Series E,Ess Kay Fincorp,Organised Non-Banking Finance Company,33000000.0
2019-01-01,Bengaluru,AI startup,"Pramod Ghadge, Shahid Memon","BEENEXT, Entrepreneur First",Series B+,Unbox Robotics,"Unbox Robotics builds on-demand AI-driven warehouse robotics solutions, which can be deployed using limited foot-print, time, and capital.",1200000.0
2015-01-01,Mumbai,EdTech,"Mayank Kumar, Phalgun Kompalli, Ravijot Chugh, Ronnie Screwvala","Unilazer Ventures, IIFL Asset Management",Series H,upGrad,UpGrad is an online higher education platform.,120000000.0
2012-01-01,Mumbai,EdTech,"Smita Deorah, Sumeet Mehta","GSV Ventures, Westbridge Capital",Series D,Lead School,LEAD School offers technology based school transformation system that assures excellent learning for every child.,30000000.0
2015-01-01,Mumbai,B2B E-commerce,"Aniket Deb, Ankit Tomar, Sachin Agrawal","CDC Group, IDG Capital",Series C,Bizongo,Bizongo is a business-to-business online marketplace for packaging products.,51000000.0
2021-01-01,Gurugram,Finance,Kapil Banwari,"Liberatha Kallat, Mukesh Yadav, Dinesh Nagpal",Seed,FypMoney,"FypMoney is Digital NEO Bank for Teenagers, empowering them with financial literacy and ease of secured financial transactions.",2000000.0
2014-01-01,New Delhi,Home services,"Abhiraj Singh Bhal, Raghav Chandra, Varun Khaitan",Vy Capital,Series C,Urban Company,"Urban Company (Formerly UrbanClap) is a home and beauty services platform in India, Middle East, Singapore and Australia",188000000.0
2018-01-01,Bengaluru,HealthTech,Gururaj KB,"CIIE.CO, KIIT-TBI",Seed Round,Comofi Medtech,Comofi Medtech is a healthcare robotics startup.,200000.0
2016-01-01,Mumbai,HealthTech,Gagan Kapur,Inflection Point Ventures,Fresh Funding,Qube Health,India's Most Respected Workplace Healthcare Management Company,3000000.0
2020-01-01,Bengaluru,Tech Startup,Akash Nidhi PS,Inflexor Ventures,Venture - Series Unknown,Vitra.ai,Vitra.ai is an AI-based video translation platform,3000000.0
2010-01-01,Mumbai,E-commerce,"Nidhi Ramachandran, Sachin Chhabra",Tiger Global,Seed Funding,Taikee,"Taikee is the ISO-certified, B2B e-commerce platform of Peel-Works, enabling better lives for corner stores.",1000000.0
2016-01-01,Mumbai,HealthTech,Dr Arbinder Singal,"9Unicorns Accelerator Fund, Metaform Ventures",Debt Financing,Fitterfly,"Fitterfly offers customized and personalized wellness programs for diabetes PCOS, pregnancy, weight loss, pediatric and nutrition.",3000000.0
2017-01-01,New Delhi,B2B service,"Konark Sharma, Sneh Soni","SucSEED Indovation, IIM Calcutta Innovation Park",Venture - Series Unknown,FreeStand,FreeStand enables FMCG brands to execute trackable and scalable product sampling campaigns.,100000.0
2014-01-01,Bengaluru,Helathcare,Kunal Shah,Safe Planet Medicare,Seed,MyDentalPlan,My Dental Plan provides dental care packages and services.,700000.0
2014-01-01,Hyderabad,Renewable Energy,"Radhika Choudary, Saurabh Marda","Impact Partners, C4D Partners",Series A+,Freyr Energy,"Freyr Energy is a company that provides full service solar provider based in Hyderabad, India.",2000000.0
2018-01-01,Jaipur,E-commerce,"Sankar Bora, Sourjyendu Medda, Vineet Rao","Tiger Global Management, InnoVen Capital",Series A,DealShare,DealShare is a Social Commerce Startup,9000000.0
1993-01-01,Bengaluru,Electronics,"P Raja Manickam, Srinivas Chinamilli, Veerappan V",Novo Tellus Capital,Private Equity,Tessolve,"Tessolve Semiconductor offers engineering in semiconductor design, test/product engineering, failure analysis, systems design.",40000000.0
2014-01-01,New Delhi,Renewable Energy,"Arjun P Gupta, Ujjal Majumdar, Sidhartha Gupta","Raintree Family Office, ADB arm",Debt Financing,Smart Joules,Smart Joules is an energy management company.,49000000.0
2020-01-01,Bengaluru,IT startup,"Swapnil Jain, Sujit Das Biswas",Inflection Point Ventures,Series D1,ORAI,AI-Powered Robotic Virtual Assistant (RVA) for Amplifying Performance of Poor quality leads and bring more MQL and SQL,400000.0
2016-01-01,New Delhi,EdTech,Chandraprakash Joshi,"Mumbai Angels, Narendra Shyamsukha",Seed,ixamBee,ixamBee is to provide best online learning experience for preparation of competitive exams.,300000.0
2017-01-01,Bengaluru,Finance,"Ashish Singhal, Govind Soni, Vimal Sagar Tiwari","Paradigm, Kunal Shah",Series B,CoinSwitch Kuber,CoinSwitch Kuber is an India-based cryptocurrency exchange platform.,25000000.0
2014-01-01,Bengaluru,Finance,"Harshil Mathur, Shashank Kumar","Matrix Partners India, GIC",Series E,Razorpay,"Razorpay is a platform that enables businesses to accept, process, and disburse payments.",160000000.0
2020-01-01,Bengaluru,EdTech,Saurabh Saxena,"Chiratae Ventures, JAFCO Asia",Seed,Uable,Uable offers role based programmes to empower children to explore different domains.,3000000.0
2015-01-01,New Delhi,Food & Beverages,Madhav Kasturia,"Mumbai Angels Network, Expert DOJO",Series D1,ZFW Hospitality,Creating a sustainable and scalable cloud kitchen network.,150000.0
2017-01-01,Ahmadabad,Aeorspace,"Anil Yekkala, Dharin Shah, Kuldeep Saxena, Purvi Shah, Sandeep Shah",GVFL,Series D,Optimized Electrotech,"Long distance, multispectral Surveillance Equipment for Defense, Aerospace, Critical Asset Protection",1800000.0
2008-01-01,Chennai,Finance,"Sankar Bora, Sourjyendu Medda, Vineet Rao","Kotak Mahindra Bank, FMO",Series D1,Northern Arc,Northern Arc Capital is a Non-Banking Finance Company that provides borrows with access to debt investors.,5000000.0
2019-01-01,Bengaluru,Deep Tech,"Bhaktha Keshavachar, Ravi Prasad Sharma, Mahalingam Koushik",Kalaari Capital,Seed,Chara,"A scalable, cloud-controlled, and rare earth mineral free Hardware and Software platform for the Switched Reluctance Motor and other magnet free motor technologies.",850000.0
2015-01-01,New Delhi,HealthTech,"Deep Bajaj, Mohit Bajaj","NB Ventures, IAN Fund",Series A,Sirona Hygiene,Solving unaddressed Intimate & Menstrual Hygiene issues with our award-winning innovative & modern products.,3000000.0
2018-01-01,Gurugram,HealthTech,Harsimarbir (Harsh) Singh,"Sequoia Capital India, Hummingbird Ventures",Series D,Pristyn Care,Pristyn Care is Health Care Startup that is disrupting Elective Surgery Procedures,53000000.0
2013-01-01,New Delhi,Dating,"Hitesh Dhingra, Rahul Kumar, Sachin Bhatia","Gaurav Munjal, Snehil Khanor",Series D,TrulyMadly,Trulymadly is a dating platform that uses a match making algorithm.,2000000.0
2018-01-01,,EdTech,"Raman Garg, Tarun Saini","JITO Angel Network, SOSV",Seed,Vidyakul,Vidyakul is an vernacular e-learning platform that helps state board students to learn academics via pre-recorded and live lectures,500000.0
2021-01-01,Bengaluru,Gaming,Ravi Vyas,9Unicorns,Seed,Jambox Games,"A competitive game publishing platform to help developers in India and Southeast Asia to publish their games, and compete with the global incumbents.",1100000.0
2015-01-01,Mumbai,Robotics,"Chintan Raikar, Prashant Iyengar, Sneh Vaswani","Chiratae Ventures, YourNest Venture Capital",Pre-Seed,Miko,"Miko is an advanced robotics startup focusing on robotics, AI & IoT.",6000000.0
2019-01-01,Andhra Pradesh,Retail,Neeraj Menta,STRIVE VC,Seed,SuperK,SuperK is a full-stack solution to empower small format retail stores in India.,800000.0
2019-01-01,Bengaluru,Food,"Anish Basu Roy, Sagar Bhalotia",Venture Catalysts,Seed,TagZ Foods,TagZ Foods is a supplier of snacks and food products.,500000.0
2017-01-01,New Delhi,Oil and Energy,Aditya Singh,Jaipuria Family Office,Series A+,Fuel Buddy,FuelBuddy is the FIRST legal private company in India to have permissions in place to deliver fuel. FUELDELIVERY APP.,1000000.0
2017-01-01,Gurugram,Finance,Sundeep Mohindru,Amazon,Series A+,M1xchange,M1 an online exchange for TReDS set up under the approval RBI to facilitate discounting of invoices on a PAN India basis.,10000000.0
2017-01-01,Goa,Tech Startup,Rohin Parkar,Riso Capital,Series B,Spintly,Wireless cloud based access control platform,500000.0
2018-01-01,Rajsamand,AgriTech,Narayan Lal Gurjar,MTG Ventures,Series B,EF Polymer,Sustainable Agriculture by creating sustainable inputs solution for agriculture to save water and fertilizer with enhancing yield.,200000.0
2016-01-01,New Delhi,Electronics,"Aman Gupta, Sameer Mehta","Qualcomm Ventures, Warburg Pincus",Series B,boAt,boAt is a consumer electronics and lifestyle company.,6000000.0
2019-01-01,Mumbai,Food & Beverages,"Pranav Malhotra, Mamta Malhotra",9Unicorns,Seed,TruNativ,TruNativ Foods & Beverages Pvt Ltd,3000000.0
2010-01-01,Bengaluru,Telecommuncation,"Ram Sellaratnam, Sunil Menon and Subash Vasudevan",Morgan Stanley,Series B,iBus,iBus Networks is an in-building connectivity solutions company,21000000.0
2019-01-01,Ranchi,Milk startup,"Manish Piyush, Ayush Kumar","Alfa Ventures, Agility Venture Partners",Seed,Puresh Daily,PUREandFRES-Milk delivers fresh milk directly from its farm to home. Fresh Milk without any trace of chemicals is packed and sealed in glass bottle.,100000.0
2016-01-01,Ahmadabad,EdTech,"Niral Modi, Aditi Modi",9Unicorns,Series B,LearnVern,LearnVern.com is a training portal where anyone can learn any course in vernacular languages for free.,1000000.0
2020-01-01,"Faridabad, Haryana",AI Chatbot,"Aniket Bajpai, Nikhil Gupta","Stellaris Venture Partners, Ramakant Sharma",Seed,LimeChat,Limechat provides a personalised shopping experience for D2C companies on chat platforms using L3 conversational AI.,7500000.0
2019-01-01,Bengaluru,IT,Dhawal Jain,Spanache,Seed,Dybo,Product Visualisation Technology for Commerce,100000.0
2021-01-01,Gurugram,Transport,VIKASH MISHRA,Inflection Point Ventures,Seed,moEVing,"Delivering clean, cost-effective and efficient mobility solutions.",1000000.0
2017-01-01,Bengaluru,Hospitality,Karan Virwani,Anicut Angel Fund,Bridge,WeWork India,"Transform buildings into beautiful, collaborative workspaces and provide infrastructure, services, events and tech",26000000.0
2018-01-01,Gurugram,Fashion,Vikram Iyer,"DSG Consumer Partners, Saama Capital",Series A,Solethreads,SOLETHREADS is a ‘Made in India’ footwear brand that’s creating a flip flop revolution.,1000000.0
2018-01-01,Mumbai,E-commerce,Bhagwan (Pradeep) Khandekar,Hindustan Media Ventures,Venture - Series Unknown,Beldara,"BELDARA.COM IS A GLOBAL B2B marketplace, enables businesses to sell worldwide.",7400000.0
2020-01-01,New Delhi,Finance,Kunal Aggarwal,"Stellaris Venture Partners, Omidyar Network India, Flourish Ventures",Seed,CredFlow,CredFlow provides financial solutions to automate your cashflows.,2000000.0
2018-01-01,Gurugram,Marketing,Ankit Agarwal,"Angelbay Holdings, Faad Network",Seed Funding,Do Your Thng,World's first shared economy platform for digital assets.,1500000.0
2017-01-01,Gurugram,Transport,"Akash Deep, Mohit Sharma","Alteria Capital, Chiratae Ventures",Series D1,Oye Rickshaw,Oye Rickshaw is an electric vehicle energy solutions company that connects people with public transportation using a booking app.,3000000.0
2017-01-01,New Delhi,LegalTech,"Himanshu Puri, Karan Kalia, Rohit Shukla","WaterBridge Ventures, Info Edge",Debt Financing,Legitquest,LegitQuest is a legal-tech company that operates a legal research platform with Indian case laws.,600000.0
2014-01-01,Bengaluru,Food delivery,Ankur Gupta,"Carmignac, Falcon Edge Capital",Series E,Swiggy,Swiggy is an on-demand food delivery platform that brings food from neighborhood restaurants directly to customers' doors.,800000000.0
2019-01-01,Bengaluru,EdTech,"Basav Nagur, Joybroto Ganguly, Sudhanshu Shekhar, Sumit Gupta, Sriramkumar Sundararaman","Vaibhav Domkundwar, Kunal Shah",Seed,AntWak,AntWak provides a video platform for e-learning service.,3000000.0
2016-01-01,Bengaluru,EdTech,"Dinesh Advani, Vivek Goyal","Chiratae Ventures, Bharat Innovation Fund",Series B,PlayShifu,PlayShifu is an EdTech startup that offers teaching/learning tools for kids (4-12 years of age).,17000000.0
2015-01-01,Bengaluru,Transport,"Mihir Mohan Mishra, Nirant Ramakuru, Ruchi Deepak","Acko Technology, Services, LetsVenture",Series H,Pitstop,Pitstop offers general repair and maintenance services for cars through its doorstep service vehicles.,3500000.0
